Sample in Buffer,Sample in Window,TRIGGER,M_ADC_DATA[11:0]
0,0,0,1627
1,1,0,2494
2,2,0,2022
3,3,0,1635
4,4,0,2487
5,5,0,1967
6,6,0,1663
7,7,0,2518
8,8,0,1912
9,9,0,1743
10,10,0,2538
11,11,0,1863
12,12,0,1750
13,13,0,2542
14,14,0,1847
15,15,0,1749
16,16,0,2542
17,17,0,1750
18,18,0,1837
19,19,0,2542
20,20,0,1767
21,21,0,1878
22,22,0,2534
23,23,0,1715
24,24,0,1902
25,25,0,2518
26,26,0,1679
27,27,0,1943
28,28,0,2518
29,29,0,1663
30,30,0,1982
31,31,0,2504
32,32,0,1619
33,33,0,2102
34,34,0,2471
35,35,0,1615
36,36,0,2061
37,37,0,2462
38,38,0,1607
39,39,0,2090
40,40,0,2435
41,41,0,1566
42,42,0,2155
43,43,0,2431
44,44,0,1566
45,45,0,2191
46,46,0,2407
47,47,0,1561
48,48,0,2239
49,49,0,2305
50,50,0,1548
51,51,0,2286
52,52,0,2295
53,53,0,1550
54,54,0,2310
55,55,0,2283
56,56,0,1558
57,57,0,2384
58,58,0,2223
59,59,0,1553
60,60,0,2374
61,61,0,2200
62,62,0,1562
63,63,0,2362
64,64,0,2179
65,65,0,1582
66,66,0,2415
67,67,0,2159
68,68,0,1576
69,69,0,2426
70,70,0,2106
71,71,0,1603
72,72,0,2467
73,73,0,2014
74,74,0,1631
75,75,0,2476
76,76,0,2032
77,77,0,1643
78,78,0,2485
79,79,0,2014
80,80,0,1661
81,81,0,2518
82,82,0,1946
83,83,0,1687
84,84,0,2518
85,85,0,1904
86,86,0,1716
87,87,0,2522
88,88,0,1884
89,89,0,1782
90,90,0,2526
91,91,0,1867
92,92,0,1774
93,93,0,2526
94,94,0,1827
95,95,0,1814
96,96,0,2522
97,97,0,1751
98,98,0,1863
99,99,0,2520
100,100,0,1745
101,101,0,1894
102,102,0,2517
103,103,0,1727
104,104,0,1934
105,105,0,2483
106,106,0,1687
107,107,0,1958
108,108,0,2479
109,109,0,1659
110,110,0,1990
111,111,0,2472
112,112,0,1651
113,113,0,2081
114,114,0,2423
115,115,0,1627
116,116,0,2105
117,117,0,2398
118,118,0,1627
119,119,0,2119
120,120,0,2391
121,121,0,1609
122,122,0,2167
123,123,0,2370
124,124,0,1618
125,125,0,2190
126,126,0,2334
127,127,0,1607
128,128,0,2255
129,129,0,2263
130,130,0,1609
131,131,0,2275
132,132,0,2258
133,133,0,1617
134,134,0,2283
135,135,0,2247
136,136,0,1628
137,137,0,2350
138,138,0,2183
139,139,0,1635
140,140,0,2342
141,141,0,2139
142,142,0,1653
143,143,0,2343
144,144,0,2115
145,145,0,1677
146,146,0,2369
147,147,0,2098
148,148,0,1691
149,149,0,2402
150,150,0,2057
151,151,0,1700
152,152,0,2419
153,153,0,1958
154,154,0,1743
155,155,0,2415
156,156,0,1967
157,157,0,1773
158,158,0,2429
159,159,0,1923
160,160,0,1821
161,161,0,2434
162,162,0,1875
163,163,0,1834
164,164,0,2427
165,165,0,1840
166,166,0,1871
167,167,0,2419
168,168,0,1818
169,169,0,1961
170,170,0,2406
171,171,0,1789
172,172,0,1947
173,173,0,2393
174,174,0,1775
175,175,0,1998
176,176,0,2366
177,177,0,1723
178,178,0,2062
179,179,0,2342
180,180,0,1731
181,181,0,2112
182,182,0,2322
183,183,0,1723
184,184,0,2131
185,185,0,2279
186,186,0,1719
187,187,0,2139
188,188,0,2275
189,189,0,1721
190,190,0,2156
191,191,0,2262
192,192,0,1723
193,193,0,2208
194,194,0,2225
195,195,0,1729
196,196,0,2203
197,197,0,2196
198,198,0,1733
199,199,0,2214
200,200,0,2172
201,201,0,1748
202,202,0,2257
203,203,0,2141
204,204,0,1755
205,205,0,2274
206,206,0,2106
207,207,0,1765
208,208,0,2288
209,209,0,2049
210,210,0,1784
211,211,0,2284
212,212,0,2054
213,213,0,1801
214,214,0,2301
215,215,0,2031
216,216,0,1824
217,217,0,2325
218,218,0,1980
219,219,0,1841
220,220,0,2317
221,221,0,1971
222,222,0,1861
223,223,0,2323
224,224,0,1926
225,225,0,1925
